decode_step,l2_retained_fraction,policy
77,0.9962732886941669,policy_pinned__budget128__sink8
78,0.9961950694666042,policy_pinned__budget128__sink8
79,0.9962734280378797,policy_pinned__budget128__sink8
80,0.9961980682052965,policy_pinned__budget128__sink8
81,0.9962174623542369,policy_pinned__budget128__sink8
82,0.9963338816251541,policy_pinned__budget128__sink8
83,0.9962135617844047,policy_pinned__budget128__sink8
84,0.9965495645271272,policy_pinned__budget128__sink8
85,0.9976657920925448,policy_pinned__budget128__sink8
86,0.9964772115868706,policy_pinned__budget128__sink8
87,0.9963779062692932,policy_pinned__budget128__sink8
88,0.9961006234365916,policy_pinned__budget128__sink8
89,0.9960307744229586,policy_pinned__budget128__sink8
90,0.9959554748554851,policy_pinned__budget128__sink8
91,0.9960404876180111,policy_pinned__budget128__sink8
92,0.9960918591007397,policy_pinned__budget128__sink8
93,0.9959953934638232,policy_pinned__budget128__sink8
94,0.996059661739121,policy_pinned__budget128__sink8
95,0.9961020625597111,policy_pinned__budget128__sink8
96,0.9959076817978071,policy_pinned__budget128__sink8
97,0.9960005346703863,policy_pinned__budget128__sink8
0,0.8895386389213716,random_matched__budget128__seed991
1,0.9993369211997853,random_matched__budget128__seed991
2,0.9993424602893587,random_matched__budget128__seed991
3,0.999172493246157,random_matched__budget128__seed991
4,0.9990714409999243,random_matched__budget128__seed991
5,0.999059545226845,random_matched__budget128__seed991
6,0.999195878378459,random_matched__budget128__seed991
7,0.9990623982759173,random_matched__budget128__seed991
8,0.9990142113708814,random_matched__budget128__seed991
9,0.9989952498033219,random_matched__budget128__seed991
10,0.9990038757120806,random_matched__budget128__seed991
11,0.999233394619366,random_matched__budget128__seed991
12,0.999068394567744,random_matched__budget128__seed991
13,0.9990758265071484,random_matched__budget128__seed991
14,0.999043132127354,random_matched__budget128__seed991
15,0.9989778809074369,random_matched__budget128__seed991
16,0.9989835382847748,random_matched__budget128__seed991
17,0.999019457767532,random_matched__budget128__seed991
18,0.9988380147235807,random_matched__budget128__seed991
19,0.9988748900024861,random_matched__budget128__seed991
20,0.9989326096826735,random_matched__budget128__seed991
21,0.9988975253526066,random_matched__budget128__seed991
22,0.9989425214599942,random_matched__budget128__seed991
23,0.9988933468791957,random_matched__budget128__seed991
24,0.9988516339121372,random_matched__budget128__seed991
25,0.9988771374287249,random_matched__budget128__seed991
26,0.9988657531618458,random_matched__budget128__seed991
27,0.998908320470889,random_matched__budget128__seed991
28,0.9987938816145405,random_matched__budget128__seed991
29,0.9989043301838053,random_matched__budget128__seed991
30,0.9988804939715347,random_matched__budget128__seed991
31,0.9988924983580413,random_matched__budget128__seed991
32,0.9988498855986688,random_matched__budget128__seed991
33,0.9988972693051935,random_matched__budget128__seed991
34,0.9988939619262636,random_matched__budget128__seed991
35,0.9989520171813371,random_matched__budget128__seed991
36,0.9988494915637124,random_matched__budget128__seed991
37,0.9988844267177155,random_matched__budget128__seed991
38,0.9989352465181007,random_matched__budget128__seed991
39,0.998847299267909,random_matched__budget128__seed991
40,0.998843080259654,random_matched__budget128__seed991
41,0.9988421374047782,random_matched__budget128__seed991
42,0.9988727607398726,random_matched__budget128__seed991
43,0.9988653720683282,random_matched__budget128__seed991
44,0.9987031602976799,random_matched__budget128__seed991
45,0.9987594440924745,random_matched__budget128__seed991
46,0.9987168704852668,random_matched__budget128__seed991
47,0.9986990215577336,random_matched__budget128__seed991
48,0.9988096841918696,random_matched__budget128__seed991
49,0.9987332209572145,random_matched__budget128__seed991
50,0.9985877171806692,random_matched__budget128__seed991
51,0.9986624070946902,random_matched__budget128__seed991
52,0.9987082968404734,random_matched__budget128__seed991
53,0.9986802346477995,random_matched__budget128__seed991
54,0.9986342122606464,random_matched__budget128__seed991
55,0.9986767331724105,random_matched__budget128__seed991
56,0.9992114363781965,random_matched__budget128__seed991
57,0.9986268525646502,random_matched__budget128__seed991
58,0.9986888809183907,random_matched__budget128__seed991
59,0.998619816368454,random_matched__budget128__seed991
60,0.9992305352091833,random_matched__budget128__seed991
61,0.9992769505633519,random_matched__budget128__seed991
62,0.9992013446729786,random_matched__budget128__seed991
63,0.9992467582589573,random_matched__budget128__seed991
64,0.9992981894929682,random_matched__budget128__seed991
65,0.9977053773111564,random_matched__budget128__seed991
66,0.9977554736784853,random_matched__budget128__seed991
67,0.9959809847434979,random_matched__budget128__seed991
68,0.9960078589363777,random_matched__budget128__seed991
69,0.9961640063323237,random_matched__budget128__seed991
70,0.9969334424113449,random_matched__budget128__seed991
71,0.9963721882761281,random_matched__budget128__seed991
72,0.9960361563098049,random_matched__budget128__seed991
73,0.9960294831789185,random_matched__budget128__seed991
74,0.9963660875000047,random_matched__budget128__seed991
75,0.9960664431147306,random_matched__budget128__seed991
76,0.996021726879684,random_matched__budget128__seed991
77,0.9960451662178015,random_matched__budget128__seed991
78,0.9959941964550254,random_matched__budget128__seed991
79,0.9960250699170741,random_matched__budget128__seed991
80,0.9959835104944297,random_matched__budget128__seed991
81,0.9960888441728232,random_matched__budget128__seed991
82,0.9975754031761113,random_matched__budget128__seed991
83,0.9960496407240109,random_matched__budget128__seed991
84,0.9961374683183852,random_matched__budget128__seed991
85,0.9961612684467767,random_matched__budget128__seed991
86,0.9965134032078998,random_matched__budget128__seed991
87,0.9966282973584937,random_matched__budget128__seed991
88,0.9964163641430737,random_matched__budget128__seed991
89,0.9962611216851794,random_matched__budget128__seed991
90,0.9960287299954482,random_matched__budget128__seed991
