evicted_count,layer_bin,layer_label,layer_source,layer_source_label,policy,retained_count,retention_fraction,role,token_bin
0.0,0,L00-L04,explicit_layer,explicit layer column,none,1004.0,1.0,template,26
0.0,0,L00-L04,explicit_layer,explicit layer column,none,883.0,1.0,template,27
0.0,0,L00-L04,explicit_layer,explicit layer column,none,745.0,1.0,template,28
0.0,0,L00-L04,explicit_layer,explicit layer column,none,634.0,1.0,template,29
0.0,0,L00-L04,explicit_layer,explicit layer column,none,555.0,1.0,template,30
0.0,0,L00-L04,explicit_layer,explicit layer column,none,377.0,1.0,template,31
0.0,0,L00-L04,explicit_layer,explicit layer column,none,429.0,1.0,template,32
0.0,0,L00-L04,explicit_layer,explicit layer column,none,409.0,1.0,template,33
0.0,0,L00-L04,explicit_layer,explicit layer column,none,299.0,1.0,template,34
0.0,0,L00-L04,explicit_layer,explicit layer column,none,323.0,1.0,template,35
0.0,0,L00-L04,explicit_layer,explicit layer column,none,290.0,1.0,template,36
0.0,0,L00-L04,explicit_layer,explicit layer column,none,280.0,1.0,template,37
0.0,0,L00-L04,explicit_layer,explicit layer column,none,222.0,1.0,template,38
0.0,0,L00-L04,explicit_layer,explicit layer column,none,189.0,1.0,template,39
0.0,0,L00-L04,explicit_layer,explicit layer column,none,124.0,1.0,template,40
0.0,0,L00-L04,explicit_layer,explicit layer column,none,51.0,1.0,template,41
0.0,0,L00-L04,explicit_layer,explicit layer column,none,108.0,1.0,template,42
0.0,0,L00-L04,explicit_layer,explicit layer column,none,1015.0,1.0,template,43
0.0,0,L00-L04,explicit_layer,explicit layer column,none,2323.0,1.0,template,44
0.0,0,L00-L04,explicit_layer,explicit layer column,none,3430.0,1.0,template,45
0.0,0,L00-L04,explicit_layer,explicit layer column,none,7138.0,1.0,template,46
0.0,0,L00-L04,explicit_layer,explicit layer column,none,5518.0,1.0,template,47
0.0,0,L00-L04,explicit_layer,explicit layer column,none,731.0,1.0,user,0
0.0,0,L00-L04,explicit_layer,explicit layer column,none,3136.0,1.0,user,1
0.0,0,L00-L04,explicit_layer,explicit layer column,none,4663.0,1.0,user,2
0.0,0,L00-L04,explicit_layer,explicit layer column,none,5584.0,1.0,user,3
0.0,0,L00-L04,explicit_layer,explicit layer column,none,5815.0,1.0,user,4
0.0,0,L00-L04,explicit_layer,explicit layer column,none,5918.0,1.0,user,5
0.0,0,L00-L04,explicit_layer,explicit layer column,none,6310.0,1.0,user,6
0.0,0,L00-L04,explicit_layer,explicit layer column,none,6389.0,1.0,user,7
0.0,0,L00-L04,explicit_layer,explicit layer column,none,6617.0,1.0,user,8
