ci_high,ci_low,ci_width,mean,metric,metric_rank,n,n_capability,n_safety,policy
0.016153846153846154,-0.016153846153846154,0.03230769230769231,0.0007692307692307692,capability,0,1300,,,policy_pinned__budget128__sink8
-0.06751749691230959,-0.08914505283381365,0.02162755592150406,-0.07841361328393029,safety,1,5205,,,policy_pinned__budget128__sink8
-0.06039712448934351,-0.09854197675523324,0.038144852265889734,-0.07918284405316106,ssei,2,,1300,5205,policy_pinned__budget128__sink8
0.016153846153846154,-0.016153846153846154,0.03230769230769231,0.0007692307692307692,capability,0,1300,,,random_matched__budget128__seed991
-0.06751749691230959,-0.08914505283381365,0.02162755592150406,-0.07841361328393029,safety,1,5205,,,random_matched__budget128__seed991
-0.06039712448934351,-0.09854197675523324,0.038144852265889734,-0.07918284405316106,ssei,2,,1300,5205,random_matched__budget128__seed991
0.005384615384615384,-0.027692307692307693,0.03307692307692308,-0.010769230769230769,capability,0,1300,,,sink_recent__budget128__sink8
-0.06751749691230959,-0.08914505283381365,0.02162755592150406,-0.07841361328393029,safety,1,5205,,,sink_recent__budget128__sink8
-0.04839651222936525,-0.08755539369372221,0.03915888146435696,-0.06764438251469952,ssei,2,,1300,5205,sink_recent__budget128__sink8
0.005384615384615384,-0.027692307692307693,0.03307692307692308,-0.010769230769230769,capability,0,1300,,,sliding_window__budget128
-0.06751749691230959,-0.08914505283381365,0.02162755592150406,-0.07841361328393029,safety,1,5205,,,sliding_window__budget128
-0.04839651222936525,-0.08755539369372221,0.03915888146435696,-0.06764438251469952,ssei,2,,1300,5205,sliding_window__budget128
0.016153846153846154,-0.016153846153846154,0.03230769230769231,0.0007692307692307692,capability,0,1300,,,user_pinned__budget128__sink8
-0.06985041855358858,-0.09180732811856732,0.02195690956497874,-0.08118567311650884,safety,1,5205,,,user_pinned__budget128__sink8
-0.06256536930888515,-0.10136966779618077,0.03880429848729562,-0.08195490388573962,ssei,2,,1300,5205,user_pinned__budget128__sink8
