decode_step,l2_retained_fraction,policy
77,0.9963964339460737,policy_pinned__budget128__sink8
78,0.9963000733859682,policy_pinned__budget128__sink8
79,0.9963790887008868,policy_pinned__budget128__sink8
80,0.996332372487173,policy_pinned__budget128__sink8
81,0.9962853670694654,policy_pinned__budget128__sink8
82,0.9964409454815831,policy_pinned__budget128__sink8
83,0.9962132973163677,policy_pinned__budget128__sink8
84,0.9957792665723655,policy_pinned__budget128__sink8
85,0.9965156120987737,policy_pinned__budget128__sink8
86,0.9963465839961918,policy_pinned__budget128__sink8
87,0.9960782691589889,policy_pinned__budget128__sink8
88,0.9959074221009331,policy_pinned__budget128__sink8
89,0.996017863517926,policy_pinned__budget128__sink8
90,0.9959698943378567,policy_pinned__budget128__sink8
91,0.9959340486144173,policy_pinned__budget128__sink8
92,0.9958159240879435,policy_pinned__budget128__sink8
93,0.9958655580588369,policy_pinned__budget128__sink8
94,0.9958122389992163,policy_pinned__budget128__sink8
95,0.995951887979164,policy_pinned__budget128__sink8
96,0.9959471542449072,policy_pinned__budget128__sink8
97,0.9962113868357327,policy_pinned__budget128__sink8
0,0.8899685960730475,random_matched__budget128__seed991
1,0.9993012130414588,random_matched__budget128__seed991
2,0.9996128867478443,random_matched__budget128__seed991
3,0.999518923696988,random_matched__budget128__seed991
4,0.9995952018668607,random_matched__budget128__seed991
5,0.9995125057258917,random_matched__budget128__seed991
6,0.9995659986347176,random_matched__budget128__seed991
7,0.9994389889420799,random_matched__budget128__seed991
8,0.9993730030461897,random_matched__budget128__seed991
9,0.9994309237528355,random_matched__budget128__seed991
10,0.9994022084749121,random_matched__budget128__seed991
11,0.999369803224412,random_matched__budget128__seed991
12,0.9995600832688043,random_matched__budget128__seed991
13,0.9994010841022422,random_matched__budget128__seed991
14,0.9993986031715679,random_matched__budget128__seed991
15,0.999497429220252,random_matched__budget128__seed991
16,0.9994941482958992,random_matched__budget128__seed991
17,0.9993981829555233,random_matched__budget128__seed991
18,0.9995598183338773,random_matched__budget128__seed991
19,0.9993923923827202,random_matched__budget128__seed991
20,0.9995049146676289,random_matched__budget128__seed991
21,0.9995776911811832,random_matched__budget128__seed991
22,0.9993734564561302,random_matched__budget128__seed991
23,0.999424030855581,random_matched__budget128__seed991
24,0.9994978236205572,random_matched__budget128__seed991
25,0.9993913937617889,random_matched__budget128__seed991
26,0.9996004263179311,random_matched__budget128__seed991
27,0.9993870097789432,random_matched__budget128__seed991
28,0.9994430321663997,random_matched__budget128__seed991
29,0.9994351023369256,random_matched__budget128__seed991
30,0.9994155650662968,random_matched__budget128__seed991
31,0.9995144782802857,random_matched__budget128__seed991
32,0.999427623261125,random_matched__budget128__seed991
33,0.9994398893045066,random_matched__budget128__seed991
34,0.9993672272898751,random_matched__budget128__seed991
35,0.999409229364282,random_matched__budget128__seed991
36,0.9993865362791892,random_matched__budget128__seed991
37,0.9994304947979188,random_matched__budget128__seed991
38,0.9995067341319371,random_matched__budget128__seed991
39,0.9994389796651036,random_matched__budget128__seed991
40,0.9995599582022976,random_matched__budget128__seed991
41,0.9994569011216508,random_matched__budget128__seed991
42,0.9995187117784451,random_matched__budget128__seed991
43,0.9994667457931714,random_matched__budget128__seed991
44,0.9994262986689041,random_matched__budget128__seed991
45,0.9988937642112722,random_matched__budget128__seed991
46,0.9988592343518727,random_matched__budget128__seed991
47,0.9981561080226843,random_matched__budget128__seed991
48,0.9984097817955254,random_matched__budget128__seed991
49,0.9984363381911675,random_matched__budget128__seed991
50,0.9981051471069563,random_matched__budget128__seed991
51,0.9982590460176068,random_matched__budget128__seed991
52,0.9985475097633394,random_matched__budget128__seed991
53,0.9982872484668022,random_matched__budget128__seed991
54,0.9988224110118838,random_matched__budget128__seed991
55,0.9986225501995055,random_matched__budget128__seed991
56,0.9987771097375605,random_matched__budget128__seed991
57,0.9987116859469113,random_matched__budget128__seed991
58,0.9987346180726586,random_matched__budget128__seed991
59,0.9992573287114105,random_matched__budget128__seed991
60,0.9992543985710938,random_matched__budget128__seed991
61,0.9993388858561154,random_matched__budget128__seed991
62,0.9991692911445815,random_matched__budget128__seed991
63,0.9992379169919211,random_matched__budget128__seed991
64,0.999170146071531,random_matched__budget128__seed991
65,0.999265229160174,random_matched__budget128__seed991
66,0.9991908623751083,random_matched__budget128__seed991
67,0.9974240458032106,random_matched__budget128__seed991
68,0.9975937871415692,random_matched__budget128__seed991
69,0.9959890953890722,random_matched__budget128__seed991
70,0.9964164924544624,random_matched__budget128__seed991
71,0.997554699016003,random_matched__budget128__seed991
72,0.9962016851336721,random_matched__budget128__seed991
73,0.99595139381449,random_matched__budget128__seed991
74,0.995873041546001,random_matched__budget128__seed991
75,0.9959129890988652,random_matched__budget128__seed991
76,0.995849899629251,random_matched__budget128__seed991
77,0.995937705315375,random_matched__budget128__seed991
78,0.9960481467049755,random_matched__budget128__seed991
79,0.9959449661088852,random_matched__budget128__seed991
80,0.9958203295148551,random_matched__budget128__seed991
81,0.9959379211453401,random_matched__budget128__seed991
82,0.9967961095411675,random_matched__budget128__seed991
83,0.9958499458408446,random_matched__budget128__seed991
84,0.9960305855779868,random_matched__budget128__seed991
85,0.9960474490084316,random_matched__budget128__seed991
86,0.9963381480592735,random_matched__budget128__seed991
87,0.9962867056766838,random_matched__budget128__seed991
88,0.9962776541405906,random_matched__budget128__seed991
89,0.9962294975379801,random_matched__budget128__seed991
90,0.9960530606393111,random_matched__budget128__seed991
91,0.9961846786093695,random_matched__budget128__seed991
92,0.9959524532611911,random_matched__budget128__seed991
93,0.996069857493077,random_matched__budget128__seed991
94,0.99627803833017,random_matched__budget128__seed991
95,0.9959140126121899,random_matched__budget128__seed991
96,0.9961461868026346,random_matched__budget128__seed991
97,0.9960792719603296,random_matched__budget128__seed991
0,0.888802289118098,sink_recent__budget128__sink8
1,0.9993167480234192,sink_recent__budget128__sink8
2,0.999308395127608,sink_recent__budget128__sink8
3,0.9991380484763618,sink_recent__budget128__sink8
4,0.9991048112556525,sink_recent__budget128__sink8
5,0.99910526890937,sink_recent__budget128__sink8
6,0.9990730447757973,sink_recent__budget128__sink8
7,0.9988677057215261,sink_recent__budget128__sink8
8,0.9989073799931749,sink_recent__budget128__sink8
9,0.9989107298223193,sink_recent__budget128__sink8
10,0.9989203235135945,sink_recent__budget128__sink8
11,0.99892742518078,sink_recent__budget128__sink8
12,0.9989436749474329,sink_recent__budget128__sink8
13,0.998956943186477,sink_recent__budget128__sink8
14,0.9989110169634587,sink_recent__budget128__sink8
15,0.9989528788618129,sink_recent__budget128__sink8
16,0.9988734761404024,sink_recent__budget128__sink8
17,0.9988792488044118,sink_recent__budget128__sink8
18,0.9988597468191124,sink_recent__budget128__sink8
