evicted_count,layer_bin,layer_label,layer_source,layer_source_label,policy,retained_count,retention_fraction,role,token_bin
0.0,0,L00-L04,explicit_layer,explicit layer column,none,51.0,1.0,user,27
0.0,0,L00-L04,explicit_layer,explicit layer column,none,48.0,1.0,user,28
0.0,0,L00-L04,explicit_layer,explicit layer column,none,50.0,1.0,user,29
0.0,0,L00-L04,explicit_layer,explicit layer column,none,52.0,1.0,user,30
0.0,0,L00-L04,explicit_layer,explicit layer column,none,48.0,1.0,user,31
0.0,0,L00-L04,explicit_layer,explicit layer column,none,50.0,1.0,user,32
0.0,0,L00-L04,explicit_layer,explicit layer column,none,50.0,1.0,user,33
0.0,0,L00-L04,explicit_layer,explicit layer column,none,51.0,1.0,user,34
0.0,0,L00-L04,explicit_layer,explicit layer column,none,51.0,1.0,user,35
0.0,0,L00-L04,explicit_layer,explicit layer column,none,55.0,1.0,user,36
0.0,0,L00-L04,explicit_layer,explicit layer column,none,59.0,1.0,user,37
0.0,0,L00-L04,explicit_layer,explicit layer column,none,59.0,1.0,user,38
0.0,0,L00-L04,explicit_layer,explicit layer column,none,59.0,1.0,user,39
0.0,0,L00-L04,explicit_layer,explicit layer column,none,63.0,1.0,user,40
0.0,0,L00-L04,explicit_layer,explicit layer column,none,61.0,1.0,user,41
0.0,0,L00-L04,explicit_layer,explicit layer column,none,60.0,1.0,user,42
0.0,0,L00-L04,explicit_layer,explicit layer column,none,60.0,1.0,user,43
0.0,0,L00-L04,explicit_layer,explicit layer column,none,64.0,1.0,user,44
0.0,0,L00-L04,explicit_layer,explicit layer column,none,54.0,1.0,user,45
0.0,0,L00-L04,explicit_layer,explicit layer column,none,46.0,1.0,user,46
0.0,0,L00-L04,explicit_layer,explicit layer column,none,40.0,1.0,user,47
0.0,0,L00-L04,explicit_layer,explicit layer column,policy_pinned__budget128__sink8,42.0,1.0,system,0
0.0,0,L00-L04,explicit_layer,explicit layer column,policy_pinned__budget128__sink8,40.0,1.0,system,1
0.0,0,L00-L04,explicit_layer,explicit layer column,policy_pinned__budget128__sink8,13.0,1.0,system,2
0.0,0,L00-L04,explicit_layer,explicit layer column,policy_pinned__budget128__sink8,13.0,1.0,system,3
