ci_high,ci_low,ci_width,mean,metric,metric_rank,n,n_capability,n_safety,policy
0.003076923076923077,-0.004615384615384616,0.007692307692307693,-0.0007692307692307692,capability,0,1300,,,policy_pinned__budget128__sink8
0.0017016604912858516,-0.005818581034719363,0.0075202415260052155,-0.0019761218608480855,safety,1,5205,,,policy_pinned__budget128__sink8
0.004476676061690471,-0.00656258247036345,0.011039258532053921,-0.0012068910916173162,ssei,2,,1300,5205,policy_pinned__budget128__sink8
0.009230769230769232,-0.003076923076923077,0.012307692307692308,0.003076923076923077,capability,0,1300,,,random_matched__budget128__seed991
0.029312474269246602,0.020557156580211334,0.008755317689035268,0.02478386167146974,safety,1,5205,,,random_matched__budget128__seed991
0.029316907875985686,0.014455985896908087,0.0148609219790776,0.021706938594546664,ssei,2,,1300,5205,random_matched__budget128__seed991
0.004615384615384616,-0.002307692307692308,0.006923076923076924,0.0007692307692307692,capability,0,1300,,,sink_recent__budget128__sink8
0.011801838891176067,0.003732674626046384,0.008069164265129682,0.007657472210786332,safety,1,5205,,,sink_recent__budget128__sink8
0.012106702135520578,0.0016171052770476402,0.010489596858472937,0.006888241441555563,ssei,2,,1300,5205,sink_recent__budget128__sink8
0.13923076923076924,0.10307692307692308,0.03615384615384616,0.12153846153846154,capability,0,1300,,,sliding_window__budget128
0.04152600521476602,0.031014134760532455,0.010511870454233567,0.03611911623439001,safety,1,5205,,,sliding_window__budget128
-0.06690439243753364,-0.10497872924385894,0.0380743368063253,-0.08541934530407153,ssei,2,,1300,5205,sliding_window__budget128
0.012307692307692308,0.0015384615384615385,0.010769230769230769,0.006923076923076923,capability,0,1300,,,user_pinned__budget128__sink8
0.0354055166735282,0.026018937834499795,0.009386578839028409,0.030602442706189104,safety,1,5205,,,user_pinned__budget128__sink8
0.030818317129556322,0.01620958292428033,0.014608734205275992,0.02367936578311218,ssei,2,,1300,5205,user_pinned__budget128__sink8
