ci_high,ci_low,ci_width,mean,metric,metric_rank,n,n_capability,n_safety,policy
0.0,0.0,0.0,0.0,capability,0,1300,,,policy_pinned__budget128__sink8
0.0030190750651845747,-0.0057087964868944695,0.008727871552079044,-0.001180183889117607,safety,1,5205,,,policy_pinned__budget128__sink8
0.003019075065184575,-0.005571565802113353,0.008590640867297928,-0.001180183889117607,ssei,2,,1300,5205,policy_pinned__budget128__sink8
0.002307692307692308,0.0,0.002307692307692308,0.0007692307692307692,capability,0,1300,,,random_matched__budget128__seed991
0.01624811307808426,0.008590640867297928,0.007657472210786331,0.012323315493344311,safety,1,5205,,,random_matched__budget128__seed991
0.015753343678415726,0.007380794037854558,0.008372549640561168,0.011554084724113543,ssei,2,,1300,5205,random_matched__budget128__seed991
0.0,0.0,0.0,0.0,capability,0,1300,,,sink_recent__budget128__sink8
0.0006312611499931382,-0.007383010841224098,0.008014271991217237,-0.0032935364347468094,safety,1,5205,,,sink_recent__budget128__sink8
0.0006861534239055851,-0.007575133799917662,0.008261287223823247,-0.0032935364347468094,ssei,2,,1300,5205,sink_recent__budget128__sink8
0.0,0.0,0.0,0.0,capability,0,1300,,,sliding_window__budget128
0.015616851928091122,0.007108549471661864,0.008508302456429258,0.011307808425964046,safety,1,5205,,,sliding_window__budget128
0.015671744202003568,0.006998764923836971,0.008672979278166598,0.011307808425964046,ssei,2,,1300,5205,sliding_window__budget128
0.01,0.002307692307692308,0.007692307692307693,0.005384615384615384,capability,0,1300,,,user_pinned__budget128__sink8
0.025936599423631124,0.018004665843282558,0.007931933580348566,0.02195690956497873,safety,1,5205,,,user_pinned__budget128__sink8
0.022364906947039513,0.010807127550643399,0.011557779396396115,0.016572294180363347,ssei,2,,1300,5205,user_pinned__budget128__sink8
