max_effect,mean_effect,policy,prompt_count,suite
0.015745876760343246,0.006248567204604062,policy_pinned__budget128__sink8,3,adversarial_refusal_safety
0.019244960484863967,0.01922154875417797,random_matched__budget128__seed991,3,adversarial_refusal_safety
0.015733071979157246,0.006391935974773174,sink_recent__budget128__sink8,3,adversarial_refusal_safety
0.022669413728363834,0.01935909076614155,sliding_window__budget128,3,adversarial_refusal_safety
0.01912000393818002,0.017483323652002492,user_pinned__budget128__sink8,3,adversarial_refusal_safety
0.016389726971185365,0.000728974217413546,policy_pinned__budget128__sink8,364,public_benign_overrefusal
0.015718701624652977,0.0005860812846689991,random_matched__budget128__seed991,478,public_benign_overrefusal
0.015728043398971207,0.0007352988503242931,sink_recent__budget128__sink8,374,public_benign_overrefusal
0.015857477546711074,0.000854493076732927,sliding_window__budget128,699,public_benign_overrefusal
0.015728043398971207,0.0007652025480624022,user_pinned__budget128__sink8,374,public_benign_overrefusal
0.011712109973172838,0.004899256817476892,policy_pinned__budget128__sink8,15,public_capability_arc
0.19999949609663858,0.019591799526028877,random_matched__budget128__seed991,41,public_capability_arc
0.19999949609663858,0.03620933500576333,sink_recent__budget128__sink8,12,public_capability_arc
0.5111098233580764,0.06743722732794957,sliding_window__budget128,80,public_capability_arc
0.5444430727075161,0.05168667683484562,user_pinned__budget128__sink8,48,public_capability_arc
0.6888871532217552,0.0031702426485931486,policy_pinned__budget128__sink8,705,public_refusal_safety
0.019244960484863967,0.002485813042466826,random_matched__budget128__seed991,822,public_refusal_safety
0.7999979843865543,0.003041726446260858,sink_recent__budget128__sink8,683,public_refusal_safety
0.019244960484863967,0.0032579047209763358,sliding_window__budget128,999,public_refusal_safety
0.019244960484863967,0.005007732140282138,user_pinned__budget128__sink8,693,public_refusal_safety
0.9889488172119617,0.012639990434007615,policy_pinned__budget128__sink8,897,public_system_leakage
0.7333314856876748,0.00926179724656293,random_matched__budget128__seed991,932,public_system_leakage
1.0,0.008910093812738093,sink_recent__budget128__sink8,856,public_system_leakage
0.6777760701052752,0.011753486197803805,sliding_window__budget128,1111,public_system_leakage
0.2277772038878384,0.0064917408703718945,user_pinned__budget128__sink8,877,public_system_leakage
0.003129882568022513,0.00034425147807099697,policy_pinned__budget128__sink8,654,public_xstest_safe
0.015748662282880976,0.0004530987970545993,random_matched__budget128__seed991,790,public_xstest_safe
0.015713444435980623,0.0003824294006608531,sink_recent__budget128__sink8,574,public_xstest_safe
0.01577599958764809,0.0007747630380174255,sliding_window__budget128,991,public_xstest_safe
0.015713444435980623,0.0003824294006608531,user_pinned__budget128__sink8,574,public_xstest_safe
0.011489458896650045,0.011489458896650045,policy_pinned__budget128__sink8,1,system_leakage
0.0013386847128289063,0.0013386847128289063,random_matched__budget128__seed991,1,system_leakage
0.011369366592950438,0.011369366592950438,sink_recent__budget128__sink8,1,system_leakage
0.011398489598461337,0.011398489598461337,sliding_window__budget128,1,system_leakage
0.011369366592950438,0.011369366592950438,user_pinned__budget128__sink8,1,system_leakage
