ci_high,ci_low,ci_width,mean,metric,metric_rank,n,n_capability,n_safety,policy
0.0,0.0,0.0,0.0,capability,0,1300,,,policy_pinned__budget128__sink8
-0.0015095375325922876,-0.00579113489776314,0.004281597365170852,-0.0035679978043090432,safety,1,5205,,,policy_pinned__budget128__sink8
-0.001536983669548511,-0.00579113489776314,0.004254151228214629,-0.0035679978043090432,ssei,2,,1300,5205,policy_pinned__budget128__sink8
0.002307692307692308,-0.002307692307692308,0.004615384615384616,0.0,capability,0,1300,,,random_matched__budget128__seed991
0.0017839989021545218,-0.002223137093454096,0.004007135995608618,-0.00021956909564978722,safety,1,5205,,,random_matched__budget128__seed991
0.002637045951166989,-0.0031859686902914568,0.005823014641458446,-0.00021956909564978722,ssei,2,,1300,5205,random_matched__budget128__seed991
0.0,0.0,0.0,0.0,capability,0,1300,,,sink_recent__budget128__sink8
0.0010155070673802662,-0.002936736654315905,0.003952243721696171,-0.0008782763825991492,safety,1,5205,,,sink_recent__budget128__sink8
0.0011252916152051599,-0.0029092905173596813,0.004034582132564841,-0.0008782763825991492,ssei,2,,1300,5205,sink_recent__budget128__sink8
0.002307692307692308,0.0,0.002307692307692308,0.0007692307692307692,capability,0,1300,,,sliding_window__budget128
-0.00233292164127899,-0.0069164265129683,0.00458350487168931,-0.004528612597776863,safety,1,5205,,,sliding_window__budget128
-0.0026897214217098944,-0.008292428033062038,0.005602706611352144,-0.005297843367007633,ssei,2,,1300,5205,sliding_window__budget128
0.010769230769230769,0.002307692307692308,0.008461538461538461,0.006153846153846154,capability,0,1300,,,user_pinned__budget128__sink8
0.005022643062988885,0.0012076300260738305,0.0038150130369150547,0.0030190750651845756,safety,1,5205,,,user_pinned__budget128__sink8
0.0012877516335729595,-0.008078770413064361,0.009366522046637321,-0.0031347710886615783,ssei,2,,1300,5205,user_pinned__budget128__sink8
